,date,city,state,winscore,losscore,loser,winner,locale,TSU score,opponent score,scorediff,scorediff_abs,winloss,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,opponent,gametype,year,TSU score_new,opponent score_new,scorediff_new,scorediff_abs_new,attendance_new,TSUrushyards_new,TSUreceiveyards_new,TSUkreturnyards_new,TSUpreturnyards_new,TSUtackleyd_new,TSUsacks_new,TSUsackyd_new,TSUpunt_new
179,2019-08-31,Nashville,TN,26,20,Mississippi Valley State University,Tennessee State University,Home,26,20,6,6,Win,13458,117,330,13,61,58,3,0.0,0,6,Mississippi Valley State University,nonconference,2019,26.0,20.0,6.0,6.0,13458.0,117.0,330.0,13.0,61.0,3.0,0.0,0.0,6.0
180,2019-09-07,Murfreesboro,TN,45,26,Tennessee State University,Middle Tennessee State University,Away,26,45,-19,19,Loss,20912,207,259,108,0,49,13,1.0,7,5,Middle Tennessee State University,nonconference,2019,26.0,45.0,-19.0,19.0,20912.0,207.0,259.0,108.0,0.0,13.0,1.0,7.0,5.0
181,2019-09-14,Memphis,TN,49,44,Tennessee State University,Jackson State University,Away,44,49,-5,5,Loss,48347,141,389,155,0,55,19,1.0,8,3,Jackson State University,nonconference,2019,44.0,49.0,-5.0,5.0,16985.230366492146,141.0,389.0,155.0,0.0,19.0,1.0,8.0,3.0
182,2019-09-21,Nashville,TN,37,31,Tennessee State University,University of Arkansas Pine Bluff,Home,31,37,-6,6,Loss,8683,71,334,74,15,65,13,1.0,3,6,University of Arkansas Pine Bluff,nonconference,2019,31.0,37.0,-6.0,6.0,8683.0,71.0,334.0,74.0,15.0,13.0,1.0,3.0,6.0
183,2019-09-28,Richmond,KY,42,16,Tennessee State University,Eastern Kentucky University,Away,16,42,-26,26,Loss,8861,112,270,38,7,74,11,1.0,5,5,Eastern Kentucky University,conference,2019,16.0,42.0,-26.0,26.0,8861.0,112.0,270.0,38.0,7.0,11.0,1.0,5.0,5.0
184,2019-10-05,Jacksonville,AL,31,23,Tennessee State University,Jacksonville State University,Away,23,31,-8,8,Loss,16589,230,240,56,0,75,13,1.0,7,3,Jacksonville State University,conference,2019,23.0,31.0,-8.0,8.0,16589.0,230.0,240.0,56.0,0.0,13.0,1.0,7.0,3.0
185,2019-10-12,Nashville,TN,31,17,Tennessee State University,Murray State University,Home,17,31,-14,14,Loss,5324,108,312,55,8,67,21,1.0,7,3,Murray State University,conference,2019,17.0,31.0,-14.0,14.0,5324.0,108.0,312.0,55.0,8.0,21.0,1.0,7.0,3.0
186,2019-10-19,Nashville,TN,26,24,Austin Peay State University,Tennessee State University,Home,26,24,2,2,Win,16389,116,220,66,0,60,11,1.0,0,6,Austin Peay State University,conference,2019,26.0,24.0,2.0,2.0,16389.0,116.0,220.0,66.0,0.0,11.0,1.0,0.0,6.0
187,2019-11-02,Nashville,TN,32,13,Tennessee State University,Southeast Missouri State University,Home,13,32,-19,19,Loss,4738,83,217,113,13,62,17,2.0,8,4,Southeast Missouri State University,conference,2019,13.0,32.0,-19.0,19.0,4738.0,83.0,217.0,113.0,13.0,17.0,2.0,8.0,4.0
188,2019-11-09,Nashville,TN,49,38,Tennessee State University,Eastern Illinois University,Home,38,49,-11,11,Loss,4131,97,209,162,62,63,46,2.0,21,3,Eastern Illinois University,conference,2019,38.0,49.0,-11.0,11.0,4131.0,97.0,209.0,162.0,62.0,46.0,2.0,21.0,3.0
189,2019-11-16,Martin,TN,28,17,Tennessee State University,University of Tennessee Martin,Away,17,28,-11,11,Loss,1776,193,123,105,6,67,26,2.0,12,6,University of Tennessee Martin,conference,2019,17.0,28.0,-11.0,11.0,1776.0,193.0,123.0,105.0,6.0,26.0,2.0,12.0,6.0
190,2019-11-23,Cookeville,TN,37,27,Tennessee Tech University,Tennessee State University,Away,37,27,10,10,Win,2728,198,225,51,25,79,22,2.0,14,4,Tennessee Tech University,conference,2019,37.0,27.0,10.0,10.0,2728.0,198.0,225.0,51.0,25.0,22.0,2.0,14.0,4.0
