,date,city,state,winscore,losscore,loser,winner,locale,TSU score,opponent score,scorediff,scorediff_abs,winloss,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,opponent,gametype,year,TSU score_new,opponent score_new,scorediff_new,scorediff_abs_new,attendance_new,TSUrushyards_new,TSUreceiveyards_new,TSUkreturnyards_new,TSUpreturnyards_new,TSUtackleyd_new,TSUsacks_new,TSUsackyd_new,TSUpunt_new
48,2007-09-22,Baton Rouge,LA,41,34,Tennessee State University,Southern University & A&M College,Away,34,41,-7,7,Loss,15371,133,316,135,15,80,56,3.0,36,7,Southern University & A&M College,nonconference,2007,34.0,41.0,-7.0,7.0,15371.0,133.0,316.0,135.0,15.0,56.0,3.0,36.0,7.0
49,2007-09-29,Atlanta,GA,18,17,Tennessee State University,Florida A&M University,Away,17,18,-1,1,Loss,56990,177,309,111,33,78,28,3.0,23,4,Florida A&M University,nonconference,2007,17.0,18.0,-1.0,1.0,16985.230366492146,177.0,309.0,111.0,33.0,28.0,3.0,23.0,4.0
50,2007-10-11,Cookeville,TN,45,28,Tennessee Tech University,Tennessee State University,Away,45,28,17,17,Win,9369,320,138,64,8,70,23,0.0,0,4,Tennessee Tech University,conference,2007,45.0,28.0,17.0,17.0,9369.0,320.0,138.0,64.0,8.0,23.0,0.0,0.0,4.0
51,2007-10-20,Richmond,KY,49,7,Tennessee State University,Eastern Kentucky University,Away,7,49,-42,42,Loss,11500,169,127,122,0,77,19,1.0,10,10,Eastern Kentucky University,conference,2007,7.0,49.0,-42.0,42.0,11500.0,169.0,127.0,122.0,0.0,19.0,1.0,10.0,5.162303664921466
52,2007-10-27,Nashville,TN,38,35,Tennessee State University,Eastern Illinois University,Home,35,38,-3,3,Loss,8935,166,189,84,20,88,12,0.0,0,5,Eastern Illinois University,conference,2007,35.0,38.0,-3.0,3.0,8935.0,166.0,189.0,84.0,20.0,12.0,0.0,0.0,5.0
53,2007-11-03,Nashville,TN,42,28,Murray State University,Tennessee State University,Home,42,28,14,14,Win,24878,280,69,6,77,93,25,3.0,15,3,Murray State University,conference,2007,42.0,28.0,14.0,14.0,24878.0,280.0,69.0,6.0,18.75392670157068,25.0,3.0,15.0,3.0
54,2007-11-08,Birmingham,AL,38,28,Samford University,Tennessee State University,Away,38,28,10,10,Win,4193,187,125,94,-1,75,35,1.0,11,5,Samford University,nonconference,2007,38.0,28.0,10.0,10.0,4193.0,187.0,125.0,94.0,-1.0,35.0,1.0,11.0,5.0
55,2007-11-17,Nashville,TN,43,38,Tennessee State University,University of Tennessee Martin,Home,38,43,-5,5,Loss,7859,290,173,222,31,92,14,1.0,8,3,University of Tennessee Martin,conference,2007,38.0,43.0,-5.0,5.0,7859.0,290.0,173.0,78.67015706806282,31.0,14.0,1.0,8.0,3.0
56,2008-08-30,Huntsville,AL,34,13,Alabama A&M University,Tennessee State University,Away,34,13,21,21,Win,10072,107,292,160,2,46,20,1.0,10,3,Alabama A&M University,nonconference,2008,34.0,13.0,21.0,21.0,10072.0,107.0,292.0,160.0,2.0,20.0,1.0,10.0,3.0
57,2008-09-06,Nashville,TN,34,32,Southern University & A&M College,Tennessee State University,Home,34,32,2,2,Win,28830,148,315,66,37,76,29,1.0,4,3,Southern University & A&M College,nonconference,2008,34.0,32.0,2.0,2.0,28830.0,148.0,315.0,66.0,37.0,29.0,1.0,4.0,3.0
58,2008-09-13,Memphis,TN,41,18,Jackson State University,Tennessee State University,Away,41,18,23,23,Win,50794,148,137,34,38,58,9,0.0,0,3,Jackson State University,nonconference,2008,41.0,18.0,23.0,23.0,16985.230366492146,148.0,137.0,34.0,38.0,9.0,0.0,0.0,3.0
59,2008-09-20,Nashville,TN,34,20,Eastern Kentucky University,Tennessee State University,Home,34,20,14,14,Win,8276,229,314,84,6,51,48,3.0,27,3,Eastern Kentucky University,conference,2008,34.0,20.0,14.0,14.0,8276.0,229.0,314.0,84.0,6.0,48.0,3.0,27.0,3.0
60,2008-09-27,Atlanta,GA,28,21,Tennessee State University,Florida A&M University,Away,21,28,-7,7,Loss,50428,136,241,95,2,61,37,3.0,23,5,Florida A&M University,nonconference,2008,21.0,28.0,-7.0,7.0,16985.230366492146,136.0,241.0,95.0,2.0,37.0,3.0,23.0,5.0
61,2008-10-04,Martin,TN,30,27,University of Tennessee Martin,Tennessee State University,Away,30,27,3,3,Win,7549,177,155,93,21,74,13,0.0,0,6,University of Tennessee Martin,conference,2008,30.0,27.0,3.0,3.0,7549.0,177.0,155.0,93.0,21.0,13.0,0.0,0.0,6.0
62,2008-10-18,Nashville,TN,37,34,Austin Peay State University,Tennessee State University,Home,37,34,3,3,Win,9358,377,108,101,0,62,25,2.0,22,1,Austin Peay State University,conference,2008,37.0,34.0,3.0,3.0,9358.0,157.7696335078534,108.0,101.0,0.0,25.0,2.0,22.0,1.0
63,2008-10-25,Cape Girardeau,MO,27,20,Tennessee State University,Southeast Missouri State University,Away,20,27,-7,7,Loss,9750,217,233,72,18,54,27,2.0,15,1,Southeast Missouri State University,conference,2008,20.0,27.0,-7.0,7.0,9750.0,217.0,233.0,72.0,18.0,27.0,2.0,15.0,1.0
64,2008-11-01,Nashville,TN,41,14,Tennessee Tech University,Tennessee State University,Home,41,14,27,27,Win,24361,212,138,32,37,67,30,2.0,16,4,Tennessee Tech University,conference,2008,41.0,14.0,27.0,27.0,24361.0,212.0,138.0,32.0,37.0,30.0,2.0,16.0,4.0
65,2008-11-08,Nashville,TN,45,24,Eastern Illinois University,Tennessee State University,Home,45,24,21,21,Win,6393,309,162,59,4,68,19,2.0,13,4,Eastern Illinois University,conference,2008,45.0,24.0,21.0,21.0,6393.0,309.0,162.0,59.0,4.0,19.0,2.0,13.0,4.0
66,2008-11-15,Jacksonville,AL,26,21,Tennessee State University,Jacksonville State University,Away,21,26,-5,5,Loss,7956,177,170,57,42,69,10,1.0,8,7,Jacksonville State University,conference,2008,21.0,26.0,-5.0,5.0,7956.0,177.0,170.0,57.0,42.0,10.0,1.0,8.0,7.0
67,2008-11-22,Murray,KY,24,17,Tennessee State University,Murray State University,Away,17,24,-7,7,Loss,2292,113,210,57,-2,60,26,2.0,11,5,Murray State University,conference,2008,17.0,24.0,-7.0,7.0,2292.0,113.0,210.0,57.0,-2.0,26.0,2.0,11.0,5.0
68,2009-09-05,Nashville,TN,24,7,Tennessee State University,Alabama A&M University,Home,7,24,-17,17,Loss,23871,13,178,46,0,71,18,1.0,7,6,Alabama A&M University,nonconference,2009,7.0,24.0,-17.0,17.0,23871.0,13.0,178.0,46.0,0.0,18.0,1.0,7.0,6.0
69,2009-09-12,Memphis,TN,14,7,Jackson State University,Tennessee State University,Away,14,7,7,7,Win,43306,217,43,19,20,60,42,3.0,26,9,Jackson State University,nonconference,2009,14.0,7.0,7.0,7.0,43306.0,217.0,43.0,19.0,20.0,42.0,3.0,26.0,9.0
70,2009-09-19,Baton Rouge,LA,21,17,Tennessee State University,Southern University & A&M College,Away,17,21,-4,4,Loss,12247,169,86,75,13,81,28,3.0,15,8,Southern University & A&M College,nonconference,2009,17.0,21.0,-4.0,4.0,12247.0,169.0,86.0,75.0,13.0,28.0,3.0,15.0,8.0
71,2009-09-26,Atlanta,GA,31,12,Tennessee State University,Florida A&M University,Away,12,31,-19,19,Loss,51950,167,107,95,2,63,14,1.0,5,6,Florida A&M University,nonconference,2009,12.0,31.0,-19.0,19.0,16985.230366492146,167.0,107.0,95.0,2.0,14.0,1.0,5.0,6.0
