,year,city,state,winscore,losscore,loser,winner,locale,TSU score,opponent score,scorediff,scorediff_abs,winloss,date
75,2009,Cookeville,TN,20,13,Tennessee State University,Tennessee Tech University,Away,13,20,-7,7,Loss,2009-10-31
76,2009,Nashville,TN,28,7,Tennessee State University,University of Tennessee Martin,Home,7,28,-21,21,Loss,2009-11-07
77,2009,Clarksville,TN,24,21,Tennessee State University,Austin Peay State University,Away,21,24,-3,3,Loss,2009-11-14
78,2009,Charleston,IL,21,10,Eastern Illinois University,Tennessee State University,Away,21,10,11,11,Win,2009-11-19
79,2010,Nashville,TN,27,14,Alabama A&M University,Tennessee State University,Home,27,14,13,13,Win,2010-09-04
80,2010,Memphis,TN,33,26,Tennessee State University,Jackson State University,Away,26,33,-7,7,Loss,2010-09-11
81,2010,Nashville,TN,26,23,Tennessee State University,Austin Peay State University,Home,23,26,-3,3,Loss,2010-09-18
82,2010,Atlanta,GA,29,18,Florida A&M University,Tennessee State University,Away,29,18,11,11,Win,2010-09-25
83,2010,Indianapolis,IN,37,7,North Carolina A&T State University,Tennessee State University,Away,37,7,30,30,Win,2010-10-02
84,2010,Cape Girardeau,MO,19,17,Tennessee State University,Southeast Missouri State University,Away,17,19,-2,2,Loss,2010-10-09
85,2010,Jacksonville,AL,24,0,Tennessee State University,Jacksonville State University,Away,0,24,-24,24,Loss,2010-10-16
86,2010,Nashville,TN,21,10,Tennessee State University,Tennessee Tech University,Home,10,21,-11,11,Loss,2010-10-23
87,2010,Nashville,TN,31,28,Tennessee State University,Eastern Illinois University,Home,28,31,-3,3,Loss,2010-11-06
88,2010,Martin,TN,37,0,Tennessee State University,University of Tennessee Martin,Away,0,37,-37,37,Loss,2010-11-13
89,2010,Murray,KY,28,23,Tennessee State University,Murray State University,Away,23,28,-5,5,Loss,2010-11-20
90,2011,Nashville,TN,33,7,Southern University & A&M College,Tennessee State University,Home,33,7,26,26,Win,2011-09-03
91,2011,Memphis,TN,35,29,Tennessee State University,Jackson State University,Away,29,35,-6,6,Loss,2011-09-10
92,2011,Murray,KY,58,27,Tennessee State University,Murray State University,Away,27,58,-31,31,Loss,2011-09-17
93,2011,Air Force Academy,CO,63,24,Tennessee State University,Air Force Academy,Away,24,63,-39,39,Loss,2011-09-24
94,2011,Clarksville,TN,37,34,Tennessee State University,Austin Peay State University,Away,34,37,-3,3,Loss,2011-10-01
95,2011,Nashville,TN,55,3,Southeast Missouri State University,Tennessee State University,Home,55,3,52,52,Win,2011-10-08
96,2011,Cookeville,TN,42,40,Tennessee Tech University,Tennessee State University,Away,42,40,2,2,Win,2011-10-15
97,2011,Richmond,KY,33,22,Tennessee State University,Eastern Kentucky University,Away,22,33,-11,11,Loss,2011-10-22
98,2011,Charleston,IL,18,17,Eastern Illinois University,Tennessee State University,Away,18,17,1,1,Win,2011-11-05
99,2011,Nashville,TN,35,30,University of Tennessee Martin,Tennessee State University,Home,35,30,5,5,Win,2011-11-12
100,2011,Nashville,TN,38,16,Tennessee State University,Jacksonville State University,Home,16,38,-22,22,Loss,2011-11-19
101,2012,Nashville,TN,17,14,Florida A&M University,Tennessee State University,Home,17,14,3,3,Win,2012-09-01
102,2012,Memphis,TN,38,12,Jackson State University,Tennessee State University,Away,38,12,26,26,Win,2012-09-08
103,2012,Nashville,TN,34,14,Austin Peay State University,Tennessee State University,Home,34,14,20,20,Win,2012-09-15
104,2012,Daytona Beach,FL,21,14,Bethune Cookman University,Tennessee State University,Away,21,14,7,7,Win,2012-09-22
105,2012,Nashville,TN,40,13,University of Arkansas Pine Bluff,Tennessee State University,Home,40,13,27,27,Win,2012-09-29
106,2012,Nashville,TN,23,20,Eastern Kentucky University,Tennessee State University,Home,23,20,3,3,Win,2012-10-05
107,2012,Cape Girardeau,MO,40,28,Southeast Missouri State University,Tennessee State University,Away,40,28,12,12,Win,2012-10-13
108,2012,Jacksonville,AL,31,28,Tennessee State University,Jacksonville State University,Away,28,31,-3,3,Loss,2012-10-20
109,2012,Nashville,TN,22,21,Tennessee Tech University,Tennessee State University,Home,22,21,1,1,Win,2012-10-27
110,2012,Murray,KY,49,28,Tennessee State University,Murray State University,Away,28,49,-21,21,Loss,2012-11-03
111,2012,Martin,TN,35,26,Tennessee State University,University of Tennessee Martin,Away,26,35,-9,9,Loss,2012-11-17
112,2013,Nashville,TN,12,9,Tennessee State University,Bethune Cookman University,Home,9,12,-3,3,Loss,2013-09-01
113,2013,Tallahassee,FL,27,7,Florida A&M University,Tennessee State University,Away,27,7,20,20,Win,2013-09-07
114,2013,Memphis,TN,26,16,Jackson State University,Tennessee State University,Away,26,16,10,10,Win,2013-09-14
115,2013,Cookeville,TN,41,21,Tennessee Tech University,Tennessee State University,Away,41,21,20,20,Win,2013-09-21
116,2013,St. Louis,MO,73,6,Central State University,Tennessee State University,Away,73,6,67,67,Win,2013-09-28
117,2013,Nashville,TN,40,16,Southeast Missouri State University,Tennessee State University,Home,40,16,24,24,Win,2013-10-05
118,2013,Jacksonville,AL,31,15,Jacksonville State University,Tennessee State University,Away,31,15,16,16,Win,2013-10-12
119,2013,Martin,TN,29,15,University of Tennessee Martin,Tennessee State University,Away,29,15,14,14,Win,2013-10-19
120,2013,Nashville,TN,34,16,Tennessee State University,Eastern Illinois University,Home,16,34,-18,18,Loss,2013-10-26
121,2013,Richmond,KY,44,0,Tennessee State University,Eastern Kentucky University,Away,0,44,-44,44,Loss,2013-11-02
122,2013,Nashville,TN,31,6,Austin Peay State University,Tennessee State University,Home,31,6,25,25,Win,2013-11-09
123,2013,Nashville,TN,17,10,Murray State University,Tennessee State University,Home,17,10,7,7,Win,2013-11-16
124,2013,Indianapolis,IN,31,0,Butler University,Tennessee State University,Away,31,0,31,31,Win,2013-11-30
125,2013,Charleston,IL,51,10,Tennessee State University,Eastern Illinois University,Away,10,51,-41,41,Loss,2013-12-07
126,2014,Nashville,TN,58,6,Edward Waters College,Tennessee State University,Home,58,6,52,52,Win,2014-08-30
127,2014,Montgomery,AL,27,21,Tennessee State University,Alabama State University,Away,21,27,-6,6,Loss,2014-09-06
128,2014,Memphis,TN,35,7,Jackson State University,Tennessee State University,Away,35,7,28,28,Win,2014-09-13
129,2014,Nashville,TN,10,7,Tennessee Tech University,Tennessee State University,Home,10,7,3,3,Win,2014-09-20
